source_name,cleaned_source_name,source_database,target_name,cleaned_target_name,target_database,sequence_identity,name_similarity,predicted_similarity,similarity_difference
PC1 beta-lactamase (blaZ),pc1 betalactamase z,card,blaPC1,pc1,ncbi,0.96,0.1578947368421053,0.8689853115076349,0.7110905746655296
PC1 beta-lactamase (blaZ),pc1 betalactamase z,card,blaZ,z,resfinder,0.96,0.052631578947368474,0.8689853115076349,0.8163537325602664
blaPC1,pc1,ncbi,PC1 beta-lactamase (blaZ),pc1 betalactamase z,card,0.96,0.1578947368421053,0.8689853115076349,0.7110905746655296
blaPC1,pc1,ncbi,blaZ,z,resfinder,0.971,0.0,0.8837622290657494,0.8837622290657494
EBR-1 beta-lactamase,ebr1 betalactamase,card,blaEBR-1,ebr1,ncbi,1.0,0.2222222222222222,0.9227195571735056,0.7004973349512834
EBR-1 beta-lactamase,ebr1 betalactamase,card,blaEBR-1,ebr1,resfinder,1.0,0.2222222222222222,0.9227195571735056,0.7004973349512834
blaEBR-1,ebr1,ncbi,EBR-1 beta-lactamase,ebr1 betalactamase,card,1.0,0.2222222222222222,0.9227195571735056,0.7004973349512834
GOB-1,gob1,card,blaGOB-18,gob18,resfinder,0.973,0.8,0.8864489413490428,0.0864489413490428
blaGOB-1,gob1,ncbi,blaGOB-18,gob18,resfinder,0.973,0.8,0.8864489413490428,0.0864489413490428
rmtB,rmtb,card,rmtB1,rmtb1,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
rmtB1,rmtb1,ncbi,rmtB,rmtb,card,1.0,0.8,0.9227195571735056,0.12271955717350558
rmtB1,rmtb1,ncbi,rmtB,rmtb,resfinder,1.0,0.8,0.9227195571735056,0.12271955717350558
TEM-1,tem1,card,blaTEM-1A,tem1a,resfinder,1.0,0.8,0.9227195571735056,0.12271955717350558
blaTEM-1,tem1,ncbi,blaTEM-1A,tem1a,resfinder,1.0,0.8,0.9227195571735056,0.12271955717350558
TEM-5,tem5,card,blaTEM-114,tem114,resfinder,0.954,0.5,0.8609251746577542,0.3609251746577542
blaTEM-5,tem5,ncbi,blaTEM-114,tem114,resfinder,0.954,0.5,0.8609251746577542,0.3609251746577542
TEM-31,tem31,card,blaTEM-30,tem30,resfinder,0.953,0.8,0.8595818185161075,0.05958181851610744
blaTEM-31,tem31,ncbi,blaTEM-30,tem30,resfinder,0.953,0.8,0.8595818185161075,0.05958181851610744
TEM-37,tem37,card,blaTEM-36,tem36,resfinder,0.956,0.8,0.8636118869410478,0.0636118869410478
blaTEM-37,tem37,ncbi,blaTEM-36,tem36,resfinder,0.956,0.8,0.8636118869410478,0.0636118869410478
TEM-39,tem39,card,blaTEM-78,tem78,resfinder,0.951,0.6,0.8568951062328138,0.25689510623281386
blaTEM-39,tem39,ncbi,blaTEM-78,tem78,resfinder,0.951,0.6,0.8568951062328138,0.25689510623281386
TEM-73,tem73,card,blaTEM-77,tem77,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
TEM-73,tem73,card,blaTEM-77,tem77,resfinder,1.0,0.8,0.9227195571735056,0.12271955717350558
blaTEM-77,tem77,ncbi,TEM-73,tem73,card,1.0,0.8,0.9227195571735056,0.12271955717350558
tlrB conferring tylosin resistance,tlrb conferring tylosin resistance,card,erm(32),erm32,ncbi,1.0,0.05882352941176472,0.9227195571735056,0.8638960277617409
tlrB conferring tylosin resistance,tlrb conferring tylosin resistance,card,erm(32),erm32,resfinder,0.952,0.05882352941176472,0.8582384623744608,0.7994149329626961
erm(32),erm32,ncbi,tlrB conferring tylosin resistance,tlrb conferring tylosin resistance,card,1.0,0.05882352941176472,0.9227195571735056,0.8638960277617409
ErmO-srmA,ermosrma,card,erm(O),ermo,ncbi,1.0,0.5,0.9227195571735056,0.4227195571735056
erm(O),ermo,ncbi,ErmO-srmA,ermosrma,card,1.0,0.5,0.9227195571735056,0.4227195571735056
OXA-12,oxa12,card,ampS,amps,resfinder,0.95,0.0,0.8555517500911671,0.8555517500911671
blaOXA-12,oxa12,ncbi,ampS,amps,resfinder,0.95,0.0,0.8555517500911671,0.8555517500911671
blaACC-4,acc4,ncbi,blaACC-1,acc1,resfinder,0.955,0.75,0.8622685307994009,0.11226853079940091
ACT-23,act23,card,blaACT-14,act14,resfinder,0.969,0.6,0.8810755167824558,0.2810755167824558
blaACT-23,act23,ncbi,blaACT-14,act14,resfinder,0.969,0.6,0.8810755167824558,0.2810755167824558
ACT-8,act8,card,blaACT-2,act2,resfinder,0.97,0.75,0.8824188729241025,0.13241887292410248
blaACT-8,act8,ncbi,blaACT-2,act2,resfinder,0.97,0.75,0.8824188729241025,0.13241887292410248
ACT-13,act13,card,blaACT-2,act2,resfinder,0.967,0.6,0.8783888044991623,0.27838880449916237
blaACT-13,act13,ncbi,blaACT-2,act2,resfinder,0.967,0.6,0.8783888044991623,0.27838880449916237
ACT-17,act17,card,blaACT-7,act7,resfinder,0.976,0.8,0.8904790097739832,0.09047900977398315
blaACT-17,act17,ncbi,blaACT-7,act7,resfinder,0.976,0.8,0.8904790097739832,0.09047900977398315
ACT-18,act18,card,blaACT-14,act14,resfinder,0.974,0.8,0.8877922974906896,0.08779229749068951
blaACT-18,act18,ncbi,blaACT-14,act14,resfinder,0.974,0.8,0.8877922974906896,0.08779229749068951
ACT-20,act20,card,blaACT-16,act16,resfinder,0.973,0.6,0.8864489413490428,0.28644894134904286
blaACT-20,act20,ncbi,blaACT-16,act16,resfinder,0.973,0.6,0.8864489413490428,0.28644894134904286
ACT-21,act21,card,blaACT-5,act5,resfinder,0.997,0.6,0.9186894887485653,0.3186894887485653
blaACT-21,act21,ncbi,blaACT-5,act5,resfinder,0.997,0.6,0.9186894887485653,0.3186894887485653
ACT-22,act22,card,blaACT-12,act12,resfinder,0.96,0.8,0.8689853115076349,0.06898531150763487
blaACT-22,act22,ncbi,blaACT-12,act12,resfinder,0.96,0.8,0.8689853115076349,0.06898531150763487
ACT-24,act24,card,blaACT-14,act14,resfinder,0.968,0.8,0.8797321606408091,0.07973216064080901
blaACT-24,act24,ncbi,blaACT-14,act14,resfinder,0.968,0.8,0.8797321606408091,0.07973216064080901
ACT-25,act25,card,blaACT-16,act16,resfinder,0.972,0.6,0.8851055852073961,0.28510558520739615
blaACT-25,act25,ncbi,blaACT-16,act16,resfinder,0.972,0.6,0.8851055852073961,0.28510558520739615
ACT-27,act27,card,blaACT-7,act7,resfinder,0.97,0.8,0.8824188729241025,0.08241887292410244
blaACT-27,act27,ncbi,blaACT-7,act7,resfinder,0.97,0.8,0.8824188729241025,0.08241887292410244
ACT-28,act28,card,blaACT-9,act9,resfinder,0.967,0.6,0.8783888044991623,0.27838880449916237
blaACT-28,act28,ncbi,blaACT-9,act9,resfinder,0.967,0.6,0.8783888044991623,0.27838880449916237
ACT-29,act29,card,blaACT-6,act6,resfinder,0.97,0.6,0.8824188729241025,0.2824188729241025
blaACT-29,act29,ncbi,blaACT-6,act6,resfinder,0.97,0.6,0.8824188729241025,0.2824188729241025
ACT-30,act30,card,blaACT-16,act16,resfinder,0.961,0.6,0.8703286676492816,0.27032866764928165
blaACT-30,act30,ncbi,blaACT-16,act16,resfinder,0.961,0.6,0.8703286676492816,0.27032866764928165
ACT-31,act31,card,blaACT-16,act16,resfinder,0.972,0.6,0.8851055852073961,0.28510558520739615
blaACT-31,act31,ncbi,blaACT-16,act16,resfinder,0.972,0.6,0.8851055852073961,0.28510558520739615
ACT-32,act32,card,blaACT-7,act7,resfinder,0.973,0.6,0.8864489413490428,0.28644894134904286
blaACT-32,act32,ncbi,blaACT-7,act7,resfinder,0.973,0.6,0.8864489413490428,0.28644894134904286
ACT-33,act33,card,blaACT-7,act7,resfinder,0.974,0.6,0.8877922974906896,0.2877922974906896
blaACT-33,act33,ncbi,blaACT-7,act7,resfinder,0.974,0.6,0.8877922974906896,0.2877922974906896
ACT-35,act35,card,blaACT-7,act7,resfinder,0.972,0.6,0.8851055852073961,0.28510558520739615
blaACT-35,act35,ncbi,blaACT-7,act7,resfinder,0.972,0.6,0.8851055852073961,0.28510558520739615
CMY-98,cmy98,card,blaCMY-159,cmy159,ncbi,0.981,0.5,0.897195790482217,0.397195790482217
blaCMY-159,cmy159,ncbi,CMY-98,cmy98,card,0.981,0.5,0.897195790482217,0.397195790482217
blaCMY-159,cmy159,ncbi,blaCMY-98,cmy98,resfinder,0.981,0.5,0.897195790482217,0.397195790482217
DHA-21,dha21,card,blaMOR,mor,resfinder,1.0,0.0,0.9227195571735056,0.9227195571735056
blaDHA-21,dha21,ncbi,blaMOR,mor,resfinder,1.0,0.0,0.9227195571735056,0.9227195571735056
MIR-9,mir9,card,blaMIR-5,mir5,resfinder,0.966,0.75,0.8770454483575154,0.1270454483575154
blaMIR-9,mir9,ncbi,blaMIR-5,mir5,resfinder,0.966,0.75,0.8770454483575154,0.1270454483575154
MIR-10,mir10,card,blaMIR-5,mir5,resfinder,0.969,0.6,0.8810755167824558,0.2810755167824558
blaMIR-10,mir10,ncbi,blaMIR-5,mir5,resfinder,0.969,0.6,0.8810755167824558,0.2810755167824558
MIR-11,mir11,card,blaMIR-5,mir5,resfinder,0.968,0.6,0.8797321606408091,0.2797321606408091
blaMIR-11,mir11,ncbi,blaMIR-5,mir5,resfinder,0.968,0.6,0.8797321606408091,0.2797321606408091
MIR-12,mir12,card,blaMIR-5,mir5,resfinder,0.967,0.6,0.8783888044991623,0.27838880449916237
blaMIR-12,mir12,ncbi,blaMIR-5,mir5,resfinder,0.967,0.6,0.8783888044991623,0.27838880449916237
MIR-13,mir13,card,blaMIR-5,mir5,resfinder,0.965,0.6,0.8757020922158687,0.2757020922158687
blaMIR-13,mir13,ncbi,blaMIR-5,mir5,resfinder,0.965,0.6,0.8757020922158687,0.2757020922158687
MIR-15,mir15,card,blaMIR-5,mir5,resfinder,0.966,0.8,0.8770454483575154,0.07704544835751537
blaMIR-15,mir15,ncbi,blaMIR-5,mir5,resfinder,0.966,0.8,0.8770454483575154,0.07704544835751537
MIR-16,mir16,card,blaMIR-5,mir5,resfinder,0.967,0.6,0.8783888044991623,0.27838880449916237
blaMIR-16,mir16,ncbi,blaMIR-5,mir5,resfinder,0.967,0.6,0.8783888044991623,0.27838880449916237
VEB-9,veb9,card,blaVEB-1,veb1,resfinder,1.0,0.75,0.9227195571735056,0.17271955717350562
blaVEB-9,veb9,ncbi,blaVEB-1,veb1,resfinder,1.0,0.75,0.9227195571735056,0.17271955717350562
SME-4,sme4,card,blaSME-2,sme2,resfinder,0.959,0.75,0.867641955365988,0.11764195536598798
blaSME-4,sme4,ncbi,blaSME-2,sme2,resfinder,0.959,0.75,0.867641955365988,0.11764195536598798
SME-5,sme5,card,blaSME-2,sme2,resfinder,0.956,0.75,0.8636118869410478,0.11361188694104785
blaSME-5,sme5,ncbi,blaSME-2,sme2,resfinder,0.956,0.75,0.8636118869410478,0.11361188694104785
OXY-1-1,oxy11,card,blaOXY-1-7,oxy17,resfinder,1.0,0.8,0.9227195571735056,0.12271955717350558
blaOXY-1-1,oxy11,ncbi,blaOXY-1-7,oxy17,resfinder,1.0,0.8,0.9227195571735056,0.12271955717350558
LEN-7,len7,card,blaLEN17,len17,resfinder,0.996,0.8,0.9173461326069186,0.11734613260691851
blaLEN-7,len7,ncbi,blaLEN17,len17,resfinder,0.996,0.8,0.9173461326069186,0.11734613260691851
LEN-10,len10,card,blaLEN18,len18,resfinder,0.996,0.8,0.9173461326069186,0.11734613260691851
blaLEN-10,len10,ncbi,blaLEN18,len18,resfinder,0.996,0.8,0.9173461326069186,0.11734613260691851
LRA-13,lra13,card,blaOXA/blaLRA13,oxa/lra13,ncbi,1.0,0.5555555555555556,0.9227195571735056,0.36716400161795004
blaOXA/blaLRA13,oxa/lra13,ncbi,LRA-13,lra13,card,1.0,0.5555555555555556,0.9227195571735056,0.36716400161795004
OCH-1,och1,card,blaOCH-7,och7,resfinder,0.959,0.75,0.867641955365988,0.11764195536598798
blaOCH-1,och1,ncbi,blaOCH-7,och7,resfinder,0.959,0.75,0.867641955365988,0.11764195536598798
AAC(6')-Iy,aac6'iy,card,aac(6')-Iaa,aac6'iaa,resfinder,0.993,0.75,0.9133160641819782,0.1633160641819782
AAC(6')-Ib3,aac6'ib3,card,ant(3'')-Ii-aac(6')-IId,ant3''iiaac6'iid,resfinder,0.976,0.375,0.8904790097739832,0.5154790097739832
aac(6')-Ib3,aac6'ib3,ncbi,ant(3'')-Ii-aac(6')-IId,ant3''iiaac6'iid,resfinder,0.976,0.375,0.8904790097739832,0.5154790097739832
AAC(6')-Ib4,aac6'ib4,card,ant(3'')-Ii-aac(6')-IId,ant3''iiaac6'iid,resfinder,0.981,0.375,0.897195790482217,0.522195790482217
aac(6')-Ib4,aac6'ib4,ncbi,ant(3'')-Ii-aac(6')-IId,ant3''iiaac6'iid,resfinder,0.981,0.375,0.897195790482217,0.522195790482217
AAC(6')-Ib-SK,aac6'ibsk,card,aac(6')-kana,aac6'kana,ncbi,0.993,0.5555555555555556,0.9133160641819782,0.3577605086264226
aac(6')-kana,aac6'kana,ncbi,AAC(6')-Ib-SK,aac6'ibsk,card,0.993,0.5555555555555556,0.9133160641819782,0.3577605086264226
AAC(6')-Ie-APH(2'')-Ia,aac6'ieaph2''ia,card,aac(6')-aph(2''),aac6'aph2'',resfinder,1.0,0.7333333333333334,0.9227195571735056,0.18938622384017223
aac(6')-Ie/aph(2'')-Ia,aac6'ie/aph2''ia,ncbi,aac(6')-aph(2''),aac6'aph2'',resfinder,0.997,0.6875,0.9186894887485653,0.23118948874856526
ANT(3'')-Ii-AAC(6')-IId fusion protein,ant3''iiaac6'iid fusion protein,card,ant(3'')-Ih/aac(6')-IId,ant3''ih/aac6'iid,ncbi,1.0,0.4516129032258065,0.9227195571735056,0.4711066539476991
ANT(3'')-Ii-AAC(6')-IId fusion protein,ant3''iiaac6'iid fusion protein,card,ant(3'')-Ii-aac(6')-IId,ant3''iiaac6'iid,resfinder,1.0,0.5161290322580645,0.9227195571735056,0.4065905249154411
ant(3'')-Ih/aac(6')-IId,ant3''ih/aac6'iid,ncbi,ANT(3'')-Ii-AAC(6')-IId fusion protein,ant3''iiaac6'iid fusion protein,card,1.0,0.4516129032258065,0.9227195571735056,0.4711066539476991
AAC(6')-30/AAC(6')-Ib' fusion protein,aac6'30/aac6'ib' fusion protein,card,aac(6')-30/aac(6')-Ib',aac6'30/aac6'ib',ncbi,1.0,0.5161290322580645,0.9227195571735056,0.4065905249154411
AAC(6')-30/AAC(6')-Ib' fusion protein,aac6'30/aac6'ib' fusion protein,card,aac(6')-30-aac(6')-Ib',aac6'30aac6'ib',resfinder,1.0,0.4838709677419355,0.9227195571735056,0.4388485894315701
aac(6')-30/aac(6')-Ib',aac6'30/aac6'ib',ncbi,AAC(6')-30/AAC(6')-Ib' fusion protein,aac6'30/aac6'ib' fusion protein,card,1.0,0.5161290322580645,0.9227195571735056,0.4065905249154411
AAC(3)-Ib/AAC(6')-Ib'',aac3ib/aac6'ib'',card,aac(3)-Ib-aac(6')-Ib,aac3ibaac6'ib,resfinder,1.0,0.8125,0.9227195571735056,0.11021955717350562
aac(3)-Ib/aac(6')-Ib'',aac3ib/aac6'ib'',ncbi,aac(3)-Ib-aac(6')-Ib,aac3ibaac6'ib,resfinder,1.0,0.8125,0.9227195571735056,0.11021955717350562
aadA,aada,card,aadA1,aada1,ncbi,0.996,0.8,0.9173461326069186,0.11734613260691851
aadA1,aada1,ncbi,aadA,aada,card,0.996,0.8,0.9173461326069186,0.11734613260691851
aadA1,aada1,ncbi,ant(3'')-Ia,ant3''ia,resfinder,0.996,0.125,0.9173461326069186,0.7923461326069186
ANT(4')-Ia,ant4'ia,card,aadD2,aadd2,ncbi,1.0,0.1428571428571429,0.9227195571735056,0.7798624143163627
aadD2,aadd2,ncbi,ANT(4')-Ia,ant4'ia,card,1.0,0.1428571428571429,0.9227195571735056,0.7798624143163627
aadD2,aadd2,ncbi,ant(4')-Ib,ant4'ib,resfinder,1.0,0.1428571428571429,0.9227195571735056,0.7798624143163627
aad(6),aad6,card,ant(6)-Ia,ant6ia,ncbi,0.996,0.33333333333333337,0.9173461326069186,0.5840127992735852
aad(6),aad6,card,ant(6)-Ia,ant6ia,resfinder,0.996,0.33333333333333337,0.9173461326069186,0.5840127992735852
ant(6)-Ia,ant6ia,ncbi,aad(6),aad6,card,0.996,0.33333333333333337,0.9173461326069186,0.5840127992735852
APH(2'')-IIa,aph2''iia,card,aph(2'')-Ib,aph2''ib,resfinder,0.989,0.7777777777777778,0.9079426396153911,0.13016486183761333
aph(2'')-IIa,aph2''iia,ncbi,aph(2'')-Ib,aph2''ib,resfinder,1.0,0.7777777777777778,0.9227195571735056,0.14494177939572783
APH(2'')-IIIa,aph2''iiia,card,aph(2'')-Ic,aph2''ic,resfinder,1.0,0.7,0.9227195571735056,0.22271955717350567
aph(2'')-IIIa,aph2''iiia,ncbi,aph(2'')-Ic,aph2''ic,resfinder,1.0,0.7,0.9227195571735056,0.22271955717350567
APH(2'')-IVa,aph2''iva,card,aph(2'')-Id,aph2''id,resfinder,1.0,0.7777777777777778,0.9227195571735056,0.14494177939572783
aph(2'')-IVa,aph2''iva,ncbi,aph(2'')-Id,aph2''id,resfinder,1.0,0.7777777777777778,0.9227195571735056,0.14494177939572783
rmtF,rmtf,card,rmtF1,rmtf1,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
rmtF1,rmtf1,ncbi,rmtF,rmtf,card,1.0,0.8,0.9227195571735056,0.12271955717350558
rmtF1,rmtf1,ncbi,rmtF,rmtf,resfinder,1.0,0.8,0.9227195571735056,0.12271955717350558
rmtD,rmtd,card,rmtD1,rmtd1,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
rmtD1,rmtd1,ncbi,rmtD,rmtd,card,1.0,0.8,0.9227195571735056,0.12271955717350558
rmtD1,rmtd1,ncbi,rmtD,rmtd,resfinder,1.0,0.8,0.9227195571735056,0.12271955717350558
Lactobacillus reuteri cat-TC,cattc,card,cat(pC194),catpc194,resfinder,0.992,0.5,0.9119727080403315,0.4119727080403315
cat-TC,cattc,ncbi,cat(pC194),catpc194,resfinder,0.992,0.5,0.9119727080403315,0.4119727080403315
Clostridium butyricum catB,catb,card,catA15,cata15,ncbi,1.0,0.5,0.9227195571735056,0.4227195571735056
catA15,cata15,ncbi,Clostridium butyricum catB,catb,card,1.0,0.5,0.9227195571735056,0.4227195571735056
catA15,cata15,ncbi,catB,catb,resfinder,1.0,0.5,0.9227195571735056,0.4227195571735056
catII,catii,card,catA2,cata2,ncbi,0.995,0.6,0.9160027764652718,0.31600277646527186
catA2,cata2,ncbi,catII,catii,card,0.995,0.6,0.9160027764652718,0.31600277646527186
catIII,catiii,card,catA3,cata3,ncbi,0.995,0.5,0.9160027764652718,0.41600277646527184
catIII,catiii,card,catA3,cata3,resfinder,1.0,0.5,0.9227195571735056,0.4227195571735056
catA3,cata3,ncbi,catIII,catiii,card,0.995,0.5,0.9160027764652718,0.41600277646527184
catQ,catq,card,catA16,cata16,ncbi,0.954,0.5,0.8609251746577542,0.3609251746577542
catA16,cata16,ncbi,catQ,catq,card,0.954,0.5,0.8609251746577542,0.3609251746577542
catA16,cata16,ncbi,catQ,catq,resfinder,0.954,0.5,0.8609251746577542,0.3609251746577542
plasmid-encoded cat (pp-cat),plasmidencoded cat ppcat,card,catA1,cata1,ncbi,1.0,0.16666666666666663,0.9227195571735056,0.756052890506839
plasmid-encoded cat (pp-cat),plasmidencoded cat ppcat,card,catA1,cata1,resfinder,1.0,0.16666666666666663,0.9227195571735056,0.756052890506839
catA1,cata1,ncbi,plasmid-encoded cat (pp-cat),plasmidencoded cat ppcat,card,1.0,0.16666666666666663,0.9227195571735056,0.756052890506839
cmlA5,cmla5,card,cmlA,cmla,ncbi,0.997,0.8,0.9186894887485653,0.11868948874856522
cmlA,cmla,ncbi,cmlA5,cmla5,card,0.997,0.8,0.9186894887485653,0.11868948874856522
cmlA6,cmla6,ncbi,cmlA1,cmla1,resfinder,0.995,0.8,0.9160027764652718,0.1160027764652718
QnrB2,qnrb2,card,qnrB52,qnrb52,ncbi,1.0,0.8333333333333334,0.9227195571735056,0.08938622384017225
QnrB2,qnrb2,card,qnrB52,qnrb52,resfinder,1.0,0.8333333333333334,0.9227195571735056,0.08938622384017225
qnrB52,qnrb52,ncbi,QnrB2,qnrb2,card,1.0,0.8333333333333334,0.9227195571735056,0.08938622384017225
QnrB46,qnrb46,card,qnrB53,qnrb53,ncbi,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
QnrB46,qnrb46,card,qnrB53,qnrb53,resfinder,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
qnrB53,qnrb53,ncbi,QnrB46,qnrb46,card,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
clbB,clbb,card,clbC,clbc,ncbi,1.0,0.75,0.9227195571735056,0.17271955717350562
clbC,clbc,ncbi,clbB,clbb,card,1.0,0.75,0.9227195571735056,0.17271955717350562
clbC,clbc,card,clbB,clbb,ncbi,1.0,0.75,0.9227195571735056,0.17271955717350562
clbB,clbb,ncbi,clbC,clbc,card,1.0,0.75,0.9227195571735056,0.17271955717350562
EreA2,erea2,card,ere(A),erea,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
ere(A),erea,ncbi,EreA2,erea2,card,1.0,0.8,0.9227195571735056,0.12271955717350558
arr-1,arr1,card,arr,arr,ncbi,1.0,0.75,0.9227195571735056,0.17271955717350562
arr,arr,ncbi,arr-1,arr1,card,1.0,0.75,0.9227195571735056,0.17271955717350562
rgt1438,rgt1438,card,rgt,rgt,ncbi,1.0,0.4285714285714286,0.9227195571735056,0.494148128602077
rgt,rgt,ncbi,rgt1438,rgt1438,card,1.0,0.4285714285714286,0.9227195571735056,0.494148128602077
otr(A),otra,ncbi,tet,tet,resfinder,1.0,0.25,0.9227195571735056,0.6727195571735056
SAT-2,sat2,card,estX/sat2,estx/sat2,ncbi,1.0,0.4444444444444444,0.9227195571735056,0.4782751127290612
estX/sat2,estx/sat2,ncbi,SAT-2,sat2,card,1.0,0.4444444444444444,0.9227195571735056,0.4782751127290612
vanE,vane,card,VanEXY,vanexy,resfinder,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
vanE,vane,ncbi,VanEXY,vanexy,resfinder,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
vanF,vanf,card,VanHFX,vanhfx,resfinder,0.997,0.6666666666666667,0.9186894887485653,0.2520228220818985
vanF,vanf,ncbi,VanHFX,vanhfx,resfinder,0.997,0.6666666666666667,0.9186894887485653,0.2520228220818985
vanG,vang,card,VanGXY,vangxy,resfinder,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
vanG,vang,ncbi,VanGXY,vangxy,resfinder,0.997,0.6666666666666667,0.9186894887485653,0.2520228220818985
vanL,vanl,card,VanLXY,vanlxy,resfinder,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
vanL,vanl,ncbi,VanLXY,vanlxy,resfinder,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
vanM,vanm,card,VanHMX,vanhmx,resfinder,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
vanM,vanm,ncbi,VanHMX,vanhmx,resfinder,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
vanN,vann,card,VanNXY,vannxy,resfinder,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
vanN,vann,ncbi,VanNXY,vannxy,resfinder,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
vanHO,vanho,card,VanHOX,vanhox,resfinder,1.0,0.8333333333333334,0.9227195571735056,0.08938622384017225
vanH-O,vanho,ncbi,VanHOX,vanhox,resfinder,1.0,0.8333333333333334,0.9227195571735056,0.08938622384017225
vanXA,vanxa,card,VanX,vanx,resfinder,0.963,0.8,0.8730153799325753,0.07301537993257523
vanX-A,vanxa,ncbi,VanX,vanx,resfinder,0.963,0.8,0.8730153799325753,0.07301537993257523
vanTmL,vantml,card,vanTm,vantm,ncbi,1.0,0.8333333333333334,0.9227195571735056,0.08938622384017225
vanTm,vantm,ncbi,vanTmL,vantml,card,1.0,0.8333333333333334,0.9227195571735056,0.08938622384017225
