id	database	name	metadata	card: id	card: name	card: match_type	card: match_identity	card: match_coverage	card: metadata	resfinder: id	resfinder: name	resfinder: match_type	resfinder: match_identity	resfinder: match_coverage	resfinder: metadata
WP_000140039.1	ncbi	mleBCA	phenotype: confers resistance to subclass: TYLOSIN, product: BCA family alpha/beta fold macrolide esterase							-	-	-	-	-	-
WP_000155092.1	ncbi	mph(E)	phenotype: confers resistance to subclass: ERYTHROMYCIN, product: Mph(E) family macrolide 2'-phosphotransferase	ARO3003741	mphE	RBH	1.0	1.0	PMID: ['29317655', '17261525'], additional_phenotype: confers resistance to drug class: MACROLIDE ANTIBIOTIC, is_a: ARO:3000333:macrolide phosphotransferase (MPH), phenotype: confers resistance to antibiotic: ERYTHROMYCIN	mph(E)	mph(E)	RBH	1.0	1.0	phenotype: confers resistance to: ERYTHROMYCIN
WP_000163435.1	ncbi	mupA	phenotype: confers resistance to subclass: MUPIROCIN, product: mupirocin-resistant isoleucine--tRNA ligase MupA	ARO3000521	Staphylococcus aureus mupA conferring resistance to mupirocin	RBH	0.996	1.0	PMID: ['11599741', '21421794', '8067768'], additional_phenotype: confers resistance to drug class: MUPIROCIN-LIKE ANTIBIOTIC, is_a: ARO:3000446:antibiotic-resistant isoleucyl-tRNA synthetase (ileS), phenotype: confers resistance to antibiotic: MUPIROCIN	mupA	mupA	RBH	0.999	1.0	phenotype: confers resistance to: MUPIROCIN
WP_000175735.1	ncbi	dfrS1	phenotype: confers resistance to subclass: TRIMETHOPRIM, product: trimethoprim-resistant dihydrofolate reductase DfrS1	ARO3002865	dfrC	RBH	0.981	1.0	PMID: ['7768789'], additional_phenotype: confers resistance to drug class: DIAMINOPYRIMIDINE ANTIBIOTIC, is_a: ARO:3001218:trimethoprim resistant dihydrofolate reductase dfr, phenotype: confers resistance to antibiotic: TRIMETHOPRIM						
WP_000214125.1	ncbi	floR2	phenotype: confers resistance to subclass: CHLORAMPHENICOL, FLORFENICOL, product: chloramphenicol/florfenicol efflux MFS transporter FloR2	ARO3005043	cmlA9	RBH	1.0	1.0	PMID: ['25315365'], is_a: ARO:0010002:major facilitator superfamily (MFS) antibiotic efflux pump, phenotype: confers resistance to antibiotic: CHLORAMPHENICOL	CmlA9	CmlA9	RBH	1.0	1.0	phenotype: confers resistance to: CHLORAMPHENICOL
WP_000237816.1	ncbi	arr-2	phenotype: confers resistance to subclass: RIFAMYCIN, product: NAD(+)--rifampin ADP-ribosyltransferase Arr-2	ARO3002847	arr-2	RBH	1.0	1.0	PMID: ['10103210'], additional_phenotype: confers resistance to drug class: RIFAMYCIN ANTIBIOTIC, is_a: ARO:3000390:rifampin ADP-ribosyltransferase (Arr), phenotype: confers resistance to antibiotic: RIFABUTIN,  RIFAMPIN,  RIFAPENTINE,  RIFAXIMIN	ARR-2	ARR-2	RBH	1.0	1.0	phenotype: confers resistance to: RIFAMPICIN
WP_000239590.1	ncbi	blaCTX-M-15	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase CTX-M-15	ARO3001878	CTX-M-15	RBH	1.0	1.0	PMID: ['11470367', '33416461', '12461028'], additional_phenotype: confers resistance to drug class: CEPHALOSPORIN, is_a: ARO:3000016:CTX-M beta-lactamase, phenotype: confers resistance to antibiotic: AMPICILLIN,  CEFALOTIN,  CEFAZOLIN,  CEFTAZIDIME,  CEFTRIAXONE	blaCTX-M-15	blaCTX-M-15	RBH	1.0	1.0	phenotype: confers resistance to: AMOXICILLIN, AMPICILLIN, AZTREONAM, CEFEPIME, CEFOTAXIME, CEFTAZIDIME, CEFTRIAXONE, PIPERACILLIN, TICARCILLIN
WP_000239591.1	ncbi	blaCTX-M-32	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase CTX-M-32	ARO3001894	CTX-M-32	RBH	1.0	1.0	PMID: ['15155242'], is_a: ARO:3000016:CTX-M beta-lactamase, phenotype: confers resistance to drug class: CEPHALOSPORIN	blaCTX-M-32	blaCTX-M-32	RBH	1.0	1.0	phenotype: confers resistance to: AMOXICILLIN, AMPICILLIN, AZTREONAM, CEFEPIME, CEFOTAXIME, CEFTAZIDIME, CEFTRIAXONE, PIPERACILLIN, TICARCILLIN
WP_000347934.1	ncbi	oqxB	phenotype: confers resistance to subclass: NITROFURANTOIN, PHENICOL, QUINOLONE, TIGECYCLINE, product: multidrug efflux RND transporter permease subunit OqxB	ARO3003923	oqxB	RBH	1.0	1.0	PMID: ['19528276'], is_a: ARO:3000748:subunit of efflux pump conferring antibiotic resistance	OqxB	OqxB	RBH	1.0	1.0	phenotype: confers resistance to: CHLORAMPHENICOL, CIPROFLOXACIN, NALIDIXIC ACID, TRIMETHOPRIM
WP_000359986.1	ncbi	armA	phenotype: confers resistance to subclass: GENTAMICIN, product: 16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	ARO3000858	armA	RBH	1.0	1.0	PMID: ['21177880', '19303884', '27885285', '20926221'], additional_phenotype: confers resistance to drug class: AMINOGLYCOSIDE ANTIBIOTIC, is_a: ARO:3004271:16S rRNA methyltransferase (G1405), phenotype: confers resistance to antibiotic: G418,  AMIKACIN,  ARBEKACIN,  DIBEKACIN,  GENTAMICIN B,  GENTAMICIN C,  ISEPAMICIN,  KANAMYCIN A,  NETILMICIN,  SISOMICIN,  TOBRAMYCIN	armA	armA	RBH	1.0	1.0	phenotype: confers resistance to: AMIKACIN, GENTAMICIN, ISEPAMICIN, NETILMICIN, TOBRAMYCIN
WP_000361704.1	ncbi	qnrVC4	phenotype: confers resistance to subclass: QUINOLONE, product: quinolone resistance pentapeptide repeat protein QnrVC4	ARO3002801	QnrVC4	RBH	1.0	1.0	PMID: ['23098826'], additional_phenotype: confers resistance to drug class: FLUOROQUINOLONE ANTIBIOTIC, is_a: ARO:3000419:quinolone resistance protein (qnr), phenotype: confers resistance to antibiotic: CIPROFLOXACIN,  GATIFLOXACIN,  LEVOFLOXACIN,  MOXIFLOXACIN,  NALIDIXIC ACID,  NORFLOXACIN,  SPARFLOXACIN	qnrVC4	qnrVC4	RBH	1.0	1.0	phenotype: confers resistance to: CIPROFLOXACIN
WP_000361705.1	ncbi	qnrVC5	phenotype: confers resistance to subclass: QUINOLONE, product: quinolone resistance pentapeptide repeat protein QnrVC5	ARO3002802	QnrVC5	RBH	1.0	1.0	PMID: ['23800600'], additional_phenotype: confers resistance to drug class: FLUOROQUINOLONE ANTIBIOTIC, is_a: ARO:3000419:quinolone resistance protein (qnr), phenotype: confers resistance to antibiotic: CIPROFLOXACIN,  GATIFLOXACIN,  LEVOFLOXACIN,  MOXIFLOXACIN,  NALIDIXIC ACID,  NORFLOXACIN,  SPARFLOXACIN	qnrVC5	qnrVC5	RBH	1.0	1.0	phenotype: confers resistance to: CIPROFLOXACIN
WP_000369216.1	ncbi	mecI	phenotype: confers resistance to subclass: METHICILLIN, product: mecA-type methicillin resistance repressor MecI	ARO3000124	mecI	RBH	0.991	1.0	PMID: ['24564530'], is_a: ARO:3000100:gene modulating beta-lactam resistance	-	-	-	-	-	-
WP_000402347.1	ncbi	vanX-A	phenotype: confers resistance to subclass: VANCOMYCIN, product: D-Ala-D-Ala dipeptidase VanX-A	ARO3002949	vanX gene in vanA cluster	RBH	1.0	1.0	PMID: ['16323116', '8380148'], is_a: ARO:3000011:vanX, phenotype: confers resistance to drug class: GLYCOPEPTIDE ANTIBIOTIC	-	-	-	-	-	-
WP_000405752.1	ncbi	aac(6')-E606	phenotype: confers resistance to subclass: AMIKACIN, KANAMYCIN, TOBRAMYCIN, product: aminoglycoside 6'-N-acetyltransferase AAC(6')-E606												
WP_000415714.1	ncbi	qnrVC1	phenotype: confers resistance to subclass: QUINOLONE, product: quinolone resistance pentapeptide repeat protein QnrVC1	ARO3002799	QnrVC1	RBH	1.0	1.0	PMID: ['18598639'], additional_phenotype: confers resistance to drug class: FLUOROQUINOLONE ANTIBIOTIC, is_a: ARO:3000419:quinolone resistance protein (qnr), phenotype: confers resistance to antibiotic: CIPROFLOXACIN,  GATIFLOXACIN,  LEVOFLOXACIN,  MOXIFLOXACIN,  NALIDIXIC ACID,  NORFLOXACIN,  SPARFLOXACIN	qnrVC1	qnrVC1	RBH	1.0	1.0	phenotype: confers resistance to: CIPROFLOXACIN
WP_000420317.1	ncbi	msr(D)	phenotype: confers resistance to subclass: AZITHROMYCIN, ERYTHROMYCIN, STREPTOGRAMIN B, product: ABC-F type ribosomal protection protein Msr(D)							msr(D)	msr(D)	RBH	0.973	1.0	phenotype: confers resistance to: AZITHROMYCIN, ERYTHROMYCIN, PRISTINAMYCIN IA, QUINUPRISTIN, TELITHROMYCIN, VIRGINIAMYCIN S
WP_000422633.1	ncbi	aph(3')-VIb	phenotype: confers resistance to subclass: AMIKACIN, KANAMYCIN, product: aminoglycoside O-phosphotransferase APH(3')-VIb	ARO3002653	APH(3')-VIb	RBH	1.0	1.0	PMID: ['2848443'], is_a: ARO:3007412:APH(3')-VI, phenotype: confers resistance to antibiotic: AMIKACIN,  BUTIROSIN,  GENTAMICIN B,  ISEPAMICIN,  KANAMYCIN A,  NEOMYCIN,  PAROMOMYCIN,  RIBOSTAMYCIN	aph(3')-VIb	aph(3')-VIb	RBH	1.0	1.0	phenotype: confers resistance to: AMIKACIN, BUTIROSIN, GENTAMICIN, KANAMYCIN, NEOMYCIN, PAROMOMYCIN, RIBOSTAMYCIN
WP_000422636.1	ncbi	aph(3')-VIa	phenotype: confers resistance to subclass: AMIKACIN, KANAMYCIN, product: aminoglycoside O-phosphotransferase APH(3')-VIa	ARO3002652	APH(3')-VIa	RBH	1.0	1.0	PMID: ['2846986'], is_a: ARO:3007412:APH(3')-VI, phenotype: confers resistance to antibiotic: AMIKACIN,  BUTIROSIN,  GENTAMICIN B,  ISEPAMICIN,  KANAMYCIN A,  NEOMYCIN,  PAROMOMYCIN,  RIBOSTAMYCIN	aph(3')-VIa	aph(3')-VIa	RBH	1.0	1.0	phenotype: confers resistance to: AMIKACIN, BUTIROSIN, GENTAMICIN, KANAMYCIN, NEOMYCIN, PAROMOMYCIN, RIBOSTAMYCIN
WP_000492284.1	ncbi	tet(K)	phenotype: confers resistance to subclass: TETRACYCLINE, product: tetracycline efflux MFS transporter Tet(K)	ARO3000178	tet(K)	RBH	0.997	1.0	PMID: ['8234490', '7781778', '15837373'], is_a: ARO:0010002:major facilitator superfamily (MFS) antibiotic efflux pump, phenotype: confers resistance to antibiotic: TETRACYCLINE	tet(K)	tet(K)	RBH	0.995	1.0	phenotype: confers resistance to: DOXYCYCLINE, TETRACYCLINE
WP_000497840.1	ncbi	blaIII	phenotype: confers resistance to subclass: BETA-LACTAM, product: class A beta-lactamase BlaIII	ARO3007101	BcIII	RBH	1.0	1.0	PMID: ['29551437'], is_a: ARO:3007100:class A Bacillus cereus Bc beta-lactamase, phenotype: confers resistance to drug class: CEPHALOSPORIN						
WP_000516404.1	ncbi	vanZ-A	phenotype: confers resistance to subclass: VANCOMYCIN, product: glycopeptide resistance protein VanZ-A	ARO3002962	vanZ gene in vanA cluster	RBH	1.0	1.0	PMID: ['7867956', '16323116', '8380148'], is_a: ARO:3000116:vanZ, phenotype: confers resistance to drug class: GLYCOPEPTIDE ANTIBIOTIC	-	-	-	-	-	-
WP_000557454.1	ncbi	aac(3)-IId	phenotype: confers resistance to subclass: GENTAMICIN, product: aminoglycoside N-acetyltransferase AAC(3)-IId	ARO3004623	AAC(3)-IId	RBH	1.0	1.0	PMID: ['20185552'], is_a: ARO:3007385:AAC(3)-II, phenotype: confers resistance to antibiotic: 2'-N-ETHYLNETILMICIN,  6'-N-ETHYLNETILMICIN,  DIBEKACIN,  GENTAMICIN,  NETILMICIN,  SISOMICIN,  TOBRAMYCIN	aac(3)-IId	aac(3)-IId	RBH	1.0	1.0	phenotype: confers resistance to: APRAMYCIN, DIBEKACIN, GENTAMICIN, NETILMICIN, SISOMICIN, TOBRAMYCIN
WP_000571065.1	ncbi	dfrA8	phenotype: confers resistance to subclass: TRIMETHOPRIM, product: trimethoprim-resistant dihydrofolate reductase DfrA8	ARO3002863	dfrA8	RBH	1.0	1.0	PMID: ['32849452'], additional_phenotype: confers resistance to drug class: DIAMINOPYRIMIDINE ANTIBIOTIC, is_a: ARO:3001218:trimethoprim resistant dihydrofolate reductase dfr, phenotype: confers resistance to antibiotic: TRIMETHOPRIM	dfrA8	dfrA8	RBH	1.0	1.0	phenotype: confers resistance to: TRIMETHOPRIM
WP_000572405.1	ncbi	aph(3')-IIa	phenotype: confers resistance to subclass: KANAMYCIN, product: aminoglycoside O-phosphotransferase APH(3')-IIa	ARO3002644	APH(3')-IIa	RBH	1.0	1.0	PMID: ['6295884'], is_a: ARO:3007408:APH(3')-II, phenotype: confers resistance to antibiotic: BUTIROSIN,  GENTAMICIN B,  KANAMYCIN A,  NEOMYCIN,  PAROMOMYCIN,  RIBOSTAMYCIN	aph(3')-IIa	aph(3')-IIa	RBH	1.0	1.0	phenotype: confers resistance to: KANAMYCIN, NEOMYCIN
WP_000586782.1	ncbi	blaOXA-20	phenotype: confers resistance to subclass: BETA-LACTAM, product: oxacillin-hydrolyzing class D beta-lactamase OXA-20	ARO3001415	OXA-20	RBH	1.0	1.0	PMID: ['9687410'], is_a: ARO:3000017:OXA beta-lactamase, phenotype: confers resistance to antibiotic: OXACILLIN	blaOXA-20	blaOXA-20	RBH	0.996	1.0	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID
WP_000616116.1	ncbi	fosD	phenotype: confers resistance to subclass: FOSFOMYCIN, product: fosfomycin resistance bacillithiol transferase FosD	ARO3004674	FosD	RBH	1.0	1.0	PMID: ['18539327'], additional_phenotype: confers resistance to drug class: PHOSPHONIC ACID ANTIBIOTIC, is_a: ARO:3000133:fosfomycin thiol transferase, phenotype: confers resistance to antibiotic: FOSFOMYCIN	fosD	fosD	RBH	1.0	1.0	phenotype: confers resistance to: FOSFOMYCIN
WP_000627290.1	ncbi	sat4	phenotype: confers resistance to subclass: STREPTOTHRICIN, product: streptothricin N-acetyltransferase Sat4	ARO3002897	SAT-4	RBH	0.994	1.0	PMID: ['8056285'], additional_phenotype: confers resistance to drug class: NUCLEOSIDE ANTIBIOTIC, is_a: ARO:3000869:streptothricin acetyltransferase (SAT), phenotype: confers resistance to antibiotic: STREPTOTHRICIN	-	-	-	-	-	-
WP_000700648.1	ncbi	lnu(A)	phenotype: confers resistance to subclass: LINCOSAMIDE, product: lincosamide nucleotidyltransferase Lnu(A)	ARO3002835	lnuA	RBH	0.937	1.0	PMID: ['17329268'], additional_phenotype: confers resistance to drug class: LINCOSAMIDE ANTIBIOTIC, is_a: ARO:3000221:lincosamide nucleotidyltransferase (LNU), phenotype: confers resistance to antibiotic: LINCOMYCIN,  PIRLIMYCIN	lnu(A)	lnu(A)	RBH	0.937	1.0	phenotype: confers resistance to: LINCOMYCIN
WP_000703246.1	ncbi	dfrA31	phenotype: confers resistance to subclass: TRIMETHOPRIM, product: trimethoprim-resistant dihydrofolate reductase DfrA31	ARO3005084	dfrA31	RBH	1.0	1.0	PMID: ['23162539', '22782487'], additional_phenotype: confers resistance to drug class: DIAMINOPYRIMIDINE ANTIBIOTIC, is_a: ARO:3001218:trimethoprim resistant dihydrofolate reductase dfr, phenotype: confers resistance to antibiotic: TRIMETHOPRIM	dfrA31	dfrA31	RBH	1.0	1.0	phenotype: confers resistance to: TRIMETHOPRIM
WP_000703418.1	ncbi	dfrA7	phenotype: confers resistance to subclass: TRIMETHOPRIM, product: trimethoprim-resistant dihydrofolate reductase DfrA7	ARO3002862	dfrA7	RBH	1.0	1.0	PMID: ['19229487'], additional_phenotype: confers resistance to drug class: DIAMINOPYRIMIDINE ANTIBIOTIC, is_a: ARO:3001218:trimethoprim resistant dihydrofolate reductase dfr, phenotype: confers resistance to antibiotic: TRIMETHOPRIM	dfrA7	dfrA7	RBH	0.993	1.0	phenotype: confers resistance to: TRIMETHOPRIM
WP_000706731.1	ncbi	blaVEB-1	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: inhibitor-resistant extended-spectrum class A beta-lactamase VEB-1	ARO3002370	VEB-1	RBH	1.0	1.0	PMID: ['10049269', '10427724'], is_a: ARO:3000043:VEB beta-lactamase, phenotype: confers resistance to drug class: CEPHALOSPORIN,  MONOBACTAM	blaVEB-1	blaVEB-1	RBH	0.996	1.0	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, AZTREONAM, CEFEPIME, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID
WP_000713530.1	ncbi	blaOXA-72	phenotype: confers resistance to subclass: CARBAPENEM, product: OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-72	ARO3001705	OXA-72	RBH	1.0	1.0	PMID: ['17846127'], is_a: ARO:3007711:OXA-24-like beta-lactamase, phenotype: confers resistance to drug class: CARBAPENEM,  PENICILLIN BETA-LACTAM	blaOXA-72	blaOXA-72	RBH	1.0	1.0	phenotype: confers resistance to: UNKNOWN BETA-LACTAM
WP_000722315.1	ncbi	blaOXA-9	phenotype: confers resistance to subclass: BETA-LACTAM, product: oxacillin-hydrolyzing class D beta-lactamase OXA-9	ARO3001404	OXA-9	RBH	1.0	1.0	PMID: ['9620445'], is_a: ARO:3007735:OXA-9-like beta-lactamase, phenotype: confers resistance to drug class: PENICILLIN BETA-LACTAM	blaOXA-9	blaOXA-9	RBH	1.0	1.0	phenotype: confers resistance to: AMOXICILLIN, AMPICILLIN
WP_000725529.1	ncbi	mecC	phenotype: confers resistance to subclass: METHICILLIN, product: PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecC	ARO3001209	mecC	RBH	1.0	1.0	PMID: ['28069659', '21641281', '22941897', '23274660'], additional_phenotype: confers resistance to drug class: PENICILLIN BETA-LACTAM, is_a: ARO:3001208:methicillin resistant PBP2, phenotype: confers resistance to antibiotic: METHICILLIN	mecC	mecC	RBH	1.0	1.0	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFEPIME, CEFIXIME, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, ERTAPENEM, IMIPENEM, MEROPENEM, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM
WP_000733274.1	ncbi	blaZ	phenotype: confers resistance to subclass: BETA-LACTAM, product: penicillin-hydrolyzing class A beta-lactamase BlaZ	ARO3008823	PC1	OWH	0.91	1.0	is_a: ARO:3004197:BlaZ beta-lactamase, phenotype: confers resistance to drug class: PENICILLIN BETA-LACTAM	blaZ	blaZ	OWH	0.902	1.0	phenotype: confers resistance to: AMOXICILLIN, AMPICILLIN, PENICILLIN, PIPERACILLIN
WP_000733283.1	ncbi	blaPC1	phenotype: confers resistance to subclass: BETA-LACTAM, product: BlaZ family penicillin-hydrolyzing class A beta-lactamase PC1	ARO3008823	PC1	RBH	1.0	1.0	is_a: ARO:3004197:BlaZ beta-lactamase, phenotype: confers resistance to drug class: PENICILLIN BETA-LACTAM	blaZ	blaZ	RBH	0.971	1.0	phenotype: confers resistance to: AMOXICILLIN, AMPICILLIN, PENICILLIN, PIPERACILLIN
WP_000742814.1	ncbi	aph(4)-Ia	phenotype: confers resistance to subclass: HYGROMYCIN, product: aminoglycoside O-phosphotransferase APH(4)-Ia	ARO3002655	APH(4)-Ia	RBH	1.0	1.0	PMID: ['6314265'], is_a: ARO:3007418:APH(4)-I, phenotype: confers resistance to antibiotic: HYGROMYCIN B	aph(4)-Ia	aph(4)-Ia	RBH	1.0	1.0	phenotype: confers resistance to: HYGROMYCIN
WP_000778180.1	ncbi	varG	phenotype: confers resistance to subclass: CARBAPENEM, product: VarG family subclass B1-like metallo-beta-lactamase	ARO3004289	Vibrio cholerae varG	RBH	1.0	0.958974358974359	PMID: ['28898293'], additional_phenotype: confers resistance to drug class: CARBAPENEM, is_a: ARO:3004288:Subclass B1 Vibrio cholerae varG beta-lactamase, phenotype: confers resistance to antibiotic: MEROPENEM						
