id	database	name	metadata	ncbi: id	ncbi: name	ncbi: match_type	ncbi: match_identity	ncbi: match_coverage	ncbi: metadata	resfinder: id	resfinder: name	resfinder: match_type	resfinder: match_identity	resfinder: match_coverage	resfinder: metadata
ARO:3002012	card	CMY-1	PMID: ['8843306'], is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: second-generation cephalosporin	WP_032488864.1	blaCMY-1	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: class C beta-lactamase CMY-1	blaCMY-1	blaCMY-1	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
ARO:3001517	card	OXA-329	is_a: ARO:3007706:OXA-213-like beta-lactamase, phenotype: confers resistance to drug class: carbapenem,penicillin beta-lactam	WP_063862667.1	blaOXA-329	RBH	1.0	1.0	phenotype: confers resistance to subclass CARBAPENEM, product: OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-329	blaOXA-329	blaOXA-329	RBH	1.0	1.0	phenotype: confers resistance to Unknown Beta-lactam
ARO:3001832	card	ACT-10	PMID: ['25312010'], is_a: ARO:3000072:ACT beta-lactamase, phenotype: confers resistance to drug class: carbapenem,cephalosporin,penicillin beta-lactam	WP_063857730.1	blaACT-10	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: cephalosporin-hydrolyzing class C beta-lactamase ACT-10	blaACT-10	blaACT-10	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
ARO:3001557	card	OXA-371	is_a: ARO:3007725:OXA-51-like beta-lactamase, phenotype: confers resistance to drug class: carbapenem,penicillin beta-lactam	WP_063862738.1	blaOXA-371	RBH	1.0	1.0	phenotype: confers resistance to subclass CARBAPENEM, product: OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-371	blaOXA-371	blaOXA-371	RBH	1.0	1.0	phenotype: confers resistance to Unknown Beta-lactam
ARO:3003552	card	fusB	PMID: ['16390458', '22308410'], additional_phenotype: confers resistance to drug class: fusidane antibiotic, is_a: ARO:3005086:Target protecting FusB-type protein conferring resistance to Fusidic acid, phenotype: confers resistance to antibiotic: fusidic acid	WP_000855537.1	fusB	RBH	1.0	1.0	phenotype: confers resistance to subclass FUSIDIC ACID, product: fusidic acid resistance EF-G-binding protein FusB	fusB	fusB	RBH	1.0	1.0	phenotype: confers resistance to Fusidic acid
ARO:3001980	card	CTX-M-121	PMID: ['23892737'], is_a: ARO:3000016:CTX-M beta-lactamase, phenotype: confers resistance to drug class: cephalosporin	WP_032495378.1	blaCTX-M-121	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase CTX-M-121	blaCTX-M-121	blaCTX-M-121	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
ARO:3002372	card	VEB-3	PMID: ['15695687'], is_a: ARO:3000043:VEB beta-lactamase, phenotype: confers resistance to drug class: cephalosporin,monobactam	WP_020956917.1	blaVEB-3	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase VEB-3	blaVEB-3	blaVEB-3	RBH	1.0	1.0	phenotype: confers resistance to Unknown Beta-lactam
ARO:3002835	card	lnuA	PMID: ['17329268'], additional_phenotype: confers resistance to drug class: lincosamide antibiotic, is_a: ARO:3000221:lincosamide nucleotidyltransferase (LNU), phenotype: confers resistance to antibiotic: lincomycin,pirlimycin	WP_000700648.1	lnu(A)	RBH	0.937	1.0	phenotype: confers resistance to subclass LINCOSAMIDE, product: lincosamide nucleotidyltransferase Lnu(A)	lnu(A)	lnu(A)	RBH	1.0	1.0	phenotype: confers resistance to Lincomycin
ARO:3001794	card	OXA-45	PMID: ['12936985'], is_a: ARO:3000017:OXA beta-lactamase, phenotype: confers resistance to antibiotic: oxacillin	WP_032490761.1	blaOXA-45	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: extended-spectrum class D beta-lactamase OXA-45	blaOXA-45	blaOXA-45	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin
ARO:3001800	card	OXA-226	PMID: ['19933793'], is_a: ARO:3007704:OXA-2-like beta-lactamase, phenotype: confers resistance to drug class: cephalosporin,penicillin beta-lactam	WP_063861826.1	blaOXA-226	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: OXA-2 family inhibitor-resistant extended-spectrum class D beta-lactamase OXA-226	blaOXA-226	blaOXA-226	RBH	1.0	1.0	phenotype: confers resistance to Cefepime, Ceftazidime, Piperacillin
ARO:3003163	card	CTX-M-155	is_a: ARO:3000016:CTX-M beta-lactamase, phenotype: confers resistance to drug class: cephalosporin	WP_063859962.1	blaCTX-M-155	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase CTX-M-155	blaCTX-M-155	blaCTX-M-155	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
ARO:3002146	card	DHA-15	is_a: ARO:3000068:DHA beta-lactamase, phenotype: confers resistance to drug class: cephalosporin	WP_063860098.1	blaDHA-15	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: extended-spectrum class C beta-lactamase DHA-15	blaDHA-15	blaDHA-15	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
ARO:3003109	card	msrE	PMID: ['23114767'], additional_phenotype: confers resistance to drug class: macrolide antibiotic,streptogramin antibiotic, is_a: ARO:3004471:msr-type ABC-F protein, phenotype: confers resistance to antibiotic: erythromycin	WP_000052512.1	msr(E)	RBH	1.0	1.0	phenotype: confers resistance to subclass AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN, product: ABC-F type ribosomal protection protein Msr(E)	msr(E)	msr(E)	RBH	1.0	1.0	phenotype: confers resistance to Erythromycin, Azithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S
ARO:3002415	card	OXY-6-3	PMID: ['16048960'], is_a: ARO:3002388:OXY beta-lactamase, phenotype: confers resistance to drug class: cephalosporin,monobactam,penicillin beta-lactam	WP_063864558.1	blaOXY-6-3	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase OXY-6-3	blaOXY-6-3	blaOXY-6-3	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
ARO:3002804	card	FosA2	PMID: ['21392044'], additional_phenotype: confers resistance to drug class: phosphonic acid antibiotic, is_a: ARO:3000133:fosfomycin thiol transferase, phenotype: confers resistance to antibiotic: fosfomycin	WP_025205684.1	fosA2	RBH	1.0	1.0	phenotype: confers resistance to subclass FOSFOMYCIN, product: fosfomycin resistance glutathione transferase FosA2	fosA2	fosA2	RBH	1.0	1.0	phenotype: confers resistance to Fosfomycin
ARO:3002649	card	APH(3')-Va	PMID: ['6310563'], is_a: ARO:3007411:APH(3')-V, phenotype: confers resistance to antibiotic: neomycin,paromomycin,ribostamycin	WP_031129630.1	aph(3')-Va	RBH	0.996	1.0	phenotype: confers resistance to subclass AMINOGLYCOSIDE, product: aminoglycoside O-phosphotransferase APH(3')-Va	aph(3')-Va	aph(3')-Va	RBH	0.996	1.0	phenotype: confers resistance to Unknown Aminoglycoside
ARO:3002528	card	AAC(3)-Ia	PMID: ['2549372', '1960117'], is_a: ARO:3007384:AAC(3)-I, phenotype: confers resistance to antibiotic: astromicin,gentamicin,sisomicin	WP_002089484.1	aac(3)-Ia	RBH	0.987	1.0	phenotype: confers resistance to subclass GENTAMICIN, product: aminoglycoside N-acetyltransferase AAC(3)-Ia	aac(3)-Ia	aac(3)-Ia	RBH	1.0	1.0	phenotype: confers resistance to Gentamicin, Astromicin, Fortimicin
ARO:3002771	card	QnrB58	PMID: ['26169406'], additional_phenotype: confers resistance to drug class: fluoroquinolone antibiotic, is_a: ARO:3000419:quinolone resistance protein (qnr), phenotype: confers resistance to antibiotic: ciprofloxacin,gatifloxacin,levofloxacin,moxifloxacin,nalidixic acid,norfloxacin,sparfloxacin	WP_063866193.1	qnrB58	RBH	1.0	0.9469026548672567	phenotype: confers resistance to subclass QUINOLONE, product: quinolone resistance pentapeptide repeat protein QnrB58	qnrB58	qnrB58	RBH	1.0	0.9469026548672567	phenotype: confers resistance to Ciprofloxacin
ARO:3003198	card	rmtH	PMID: ['23478957'], additional_phenotype: confers resistance to drug class: aminoglycoside antibiotic, is_a: ARO:3004271:16S rRNA methyltransferase (G1405), phenotype: confers resistance to antibiotic: amikacin,arbekacin,gentamicin A,tobramycin	WP_046664169.1	rmtH	RBH	1.0	1.0	phenotype: confers resistance to subclass AMINOGLYCOSIDE, product: RmtH family 16S rRNA (guanine(1405)-N(7))-methyltransferase	rmtH	rmtH	RBH	1.0	1.0	phenotype: confers resistance to Amikacin, Gentamicin, Tobramycin
ARO:3002413	card	OXY-6-1	PMID: ['16048960'], is_a: ARO:3002388:OXY beta-lactamase, phenotype: confers resistance to drug class: cephalosporin,monobactam,penicillin beta-lactam	WP_063864556.1	blaOXY-6-1	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase OXY-6-1	blaOXY-6-1	blaOXY-6-1	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
ARO:3003550	card	mdtP	PMID: ['19429622', '11257026'], is_a: ARO:3000748:subunit of efflux pump conferring antibiotic resistance												
ARO:3002125	card	CMY-114	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: second-generation cephalosporin	WP_063859710.1	blaCMY-114	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: class C beta-lactamase CMY-114	blaCMY-114	blaCMY-114	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
ARO:3001808	card	OXA-60	PMID: ['15504844'], is_a: ARO:3007729:OXA-60-like beta-lactamase, phenotype: confers resistance to drug class: carbapenem,penicillin beta-lactam	WP_063864500.1	blaOXA-60	RBH	1.0	1.0	phenotype: confers resistance to subclass CARBAPENEM, product: carbapenem-hydrolyzing class D beta-lactamase OXA-60	blaOXA-60	blaOXA-60	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Unknown Beta-lactam
ARO:3001650	card	OXA-90	PMID: ['19567349'], is_a: ARO:3007725:OXA-51-like beta-lactamase, phenotype: confers resistance to drug class: carbapenem,penicillin beta-lactam	WP_001021781.1	blaOXA-90	RBH	1.0	1.0	phenotype: confers resistance to subclass CARBAPENEM, product: OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-90	blaOXA-90	blaOXA-90	RBH	1.0	1.0	phenotype: confers resistance to Unknown Beta-lactam
ARO:3002380	card	SME-2	PMID: ['11036019'], is_a: ARO:3000055:SME beta-lactamase, phenotype: confers resistance to drug class: carbapenem	WP_063864725.1	blaSME-2	RBH	1.0	1.0	phenotype: confers resistance to subclass CARBAPENEM, product: carbapenem-hydrolyzing class A beta-lactamase SME-2	blaSME-2	blaSME-2	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
ARO:3002538	card	AAC(3)-IIIc	PMID: ['8385262'], is_a: ARO:3007386:AAC(3)-III, phenotype: confers resistance to antibiotic: gentamicin A	WP_063840263.1	aac(3)-IIIc	RBH	1.0	1.0	phenotype: confers resistance to subclass GENTAMICIN, product: aminoglycoside N-acetyltransferase AAC(3)-IIIc	aac(3)-IIIc	aac(3)-IIIc	RBH	1.0	1.0	phenotype: confers resistance to Gentamicin, Tobramycin, Dibekacin, Sisomicin
ARO:3002397	card	OXY-2-2	PMID: ['16048960'], is_a: ARO:3002388:OXY beta-lactamase, phenotype: confers resistance to drug class: cephalosporin,monobactam,penicillin beta-lactam	WP_023329386.1	blaOXY-2-2	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase OXY-2-2	blaOXY-2-2	blaOXY-2-2	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
ARO:3002188	card	MOX-5	is_a: ARO:3000083:MOX beta-lactamase, phenotype: confers resistance to drug class: cephalosporin,penicillin beta-lactam	WP_063860848.1	blaMOX-5	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: CMY-1/MOX family class C beta-lactamase MOX-5	blaMOX-5	blaMOX-5	RBH	1.0	1.0	phenotype: confers resistance to Unknown Beta-lactam
ARO:3000904	card	TEM-34	PMID: ['8067742'], additional_phenotype: confers resistance to drug class: cephalosporin,monobactam,penicillin beta-lactam, is_a: ARO:3000014:TEM beta-lactamase, phenotype: confers resistance to antibiotic: ampicillin,ceftazidime	WP_015379489.1	blaTEM-34	RBH	1.0	1.0	phenotype: confers resistance to subclass BETA-LACTAM, product: inhibitor-resistant broad-spectrum class A beta-lactamase TEM-34	blaTEM-34	blaTEM-34	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
ARO:3001617	card	OXA-69	PMID: ['15760431'], is_a: ARO:3007725:OXA-51-like beta-lactamase, phenotype: confers resistance to drug class: carbapenem,penicillin beta-lactam	WP_001021779.1	blaOXA-69	RBH	1.0	1.0	phenotype: confers resistance to subclass CARBAPENEM, product: OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-69	blaOXA-69	blaOXA-69	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Ampicillin
ARO:3000879	card	TEM-7	PMID: ['2506109', '3055178'], additional_phenotype: confers resistance to drug class: cephalosporin,monobactam,penicillin beta-lactam, is_a: ARO:3000014:TEM beta-lactamase, phenotype: confers resistance to antibiotic: ampicillin,ceftazidime	WP_109874025.1	blaTEM-7	OWH	0.956	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase TEM-7	blaTEM-155	blaTEM-155	OWH	0.953	1.0	phenotype: confers resistance to Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
ARO:3001082	card	SHV-24	PMID: ['10817740'], is_a: ARO:3000015:SHV beta-lactamase, phenotype: confers resistance to drug class: cephalosporin,penicillin beta-lactam	WP_063864670.1	blaSHV-24	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: extended-spectrum class A beta-lactamase SHV-24	blaSHV-24	blaSHV-24	RBH	1.0	1.0	phenotype: confers resistance to Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
ARO:3002762	card	QnrB47	PMID: ['24247140'], additional_phenotype: confers resistance to drug class: fluoroquinolone antibiotic, is_a: ARO:3000419:quinolone resistance protein (qnr), phenotype: confers resistance to antibiotic: ciprofloxacin,gatifloxacin,levofloxacin,moxifloxacin,nalidixic acid,norfloxacin,sparfloxacin	WP_063866125.1	qnrB47	RBH	1.0	1.0	phenotype: confers resistance to subclass QUINOLONE, product: quinolone resistance pentapeptide repeat protein QnrB47	qnrB47	qnrB47	RBH	1.0	1.0	phenotype: confers resistance to Ciprofloxacin
ARO:3001502	card	OXA-256	PMID: ['23458448'], is_a: ARO:3007697:OXA-10-like beta-lactamase, phenotype: confers resistance to drug class: cephalosporin,penicillin beta-lactam	WP_014454104.1	blaOXA-256	RBH	1.0	1.0	phenotype: confers resistance to subclass CEPHALOSPORIN, product: OXA-10 family extended-spectrum class D beta-lactamase OXA-256	blaOXA-256	blaOXA-256	RBH	1.0	1.0	phenotype: confers resistance to Unknown Beta-lactam
ARO:3002795	card	QnrS6	PMID: ['22024339'], additional_phenotype: confers resistance to drug class: fluoroquinolone antibiotic, is_a: ARO:3000419:quinolone resistance protein (qnr), phenotype: confers resistance to antibiotic: ciprofloxacin,gatifloxacin,levofloxacin,moxifloxacin,nalidixic acid,norfloxacin,sparfloxacin	WP_014343560.1	qnrS6	RBH	1.0	1.0	phenotype: confers resistance to subclass QUINOLONE, product: quinolone resistance pentapeptide repeat protein QnrS6	qnrS6	qnrS6	RBH	1.0	1.0	phenotype: confers resistance to Ciprofloxacin
ARO:3001518	card	OXA-330	is_a: ARO:3007706:OXA-213-like beta-lactamase, phenotype: confers resistance to drug class: carbapenem,penicillin beta-lactam	WP_063862674.1	blaOXA-330	RBH	1.0	1.0	phenotype: confers resistance to subclass CARBAPENEM, product: OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-330	blaOXA-330	blaOXA-330	RBH	1.0	1.0	phenotype: confers resistance to Unknown Beta-lactam
