id	database	name	metadata	card: id	card: name	card: match_type	card: match_identity	card: match_coverage	card: metadata	ncbi: id	ncbi: name	ncbi: match_type	ncbi: match_identity	ncbi: match_coverage	ncbi: metadata
POM-1	resfinder	POM-1	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFEPIME, CEFIXIME, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, ERTAPENEM, IMIPENEM, MEROPENEM, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM	ARO3006974	POM-1	RBH	0.989	0.9895104895104895	is_a: ARO:3005436:POM beta-lactamase, phenotype: confers resistance to drug class: CARBAPENEM	WP_044403015.1	blaPOM-1	RBH	0.989	0.9895104895104895	phenotype: confers resistance to subclass: CARBAPENEM, product: subclass B3 metallo-beta-lactamase POM-1
TOprJ1	resfinder	TOprJ1	phenotype: confers resistance to: DOXYCYCLINE, MINOCYCLINE, TETRACYCLINE, TIGECYCLINE							WP_003152694.1	toprJ1	RBH	1.0	1.0	phenotype: confers resistance to subclass: TIGECYCLINE, product: multidrug efflux transporter outer membrane subunit TOprJ1
TOprJ2	resfinder	TOprJ2	phenotype: confers resistance to: DOXYCYCLINE, MINOCYCLINE, TETRACYCLINE, TIGECYCLINE							WP_088903432.1	toprJ2	RBH	1.0	1.0	phenotype: confers resistance to subclass: TIGECYCLINE, product: multidrug efflux transporter outer membrane subunit TOprJ2
TOprJ3	resfinder	TOprJ3	phenotype: confers resistance to: DOXYCYCLINE, MINOCYCLINE, TETRACYCLINE, TIGECYCLINE							WP_003152694.1	toprJ1	RBH	1.0	1.0	phenotype: confers resistance to subclass: TIGECYCLINE, product: multidrug efflux transporter outer membrane subunit TOprJ1
TOprJ4	resfinder	TOprJ4	phenotype: confers resistance to: DOXYCYCLINE, MINOCYCLINE, TETRACYCLINE, TIGECYCLINE												
VanE	resfinder	VanE	phenotype: confers resistance to: VANCOMYCIN	ARO3002907	vanE	OWH	0.93	1.0	PMID: ['12019119'], is_a: ARO:3002979:D-Ala-D-Ser ligase	WP_063856694.1	vanE	OWH	0.93	1.0	phenotype: confers resistance to subclass: VANCOMYCIN, product: D-alanine--D-serine ligase VanE
VanEXY	resfinder	VanEXY	phenotype: confers resistance to: VANCOMYCIN	ARO3002907	vanE	RBH	1.0	1.0	PMID: ['12019119'], is_a: ARO:3002979:D-Ala-D-Ser ligase	WP_063856694.1	vanE	RBH	1.0	1.0	phenotype: confers resistance to subclass: VANCOMYCIN, product: D-alanine--D-serine ligase VanE
VanG2XY	resfinder	VanG2XY	phenotype: confers resistance to: VANCOMYCIN												
VanGXY	resfinder	VanGXY	phenotype: confers resistance to: VANCOMYCIN	ARO3002909	vanG	RBH	1.0	1.0	PMID: ['16323116', '12426332'], is_a: ARO:3002979:D-Ala-D-Ser ligase	WP_063856695.1	vanG	RBH	0.997	1.0	phenotype: confers resistance to subclass: VANCOMYCIN, product: D-alanine--D-serine ligase VanG
VanHAX	resfinder	VanHAX	phenotype: confers resistance to: TEICOPLANIN, VANCOMYCIN	ARO3000010	vanA	RBH	0.997	1.0	PMID: ['9177243'], is_a: ARO:3002978:D-Ala-D-Lac ligase	WP_063856521.1	vanA	RBH	1.0	1.0	phenotype: confers resistance to subclass: VANCOMYCIN, product: D-alanine--(R)-lactate ligase VanA
VanHBX	resfinder	VanHBX	phenotype: confers resistance to: VANCOMYCIN	ARO3000013	vanB	RBH	0.991	1.0	PMID: ['9177243'], is_a: ARO:3002978:D-Ala-D-Lac ligase	WP_002593938.1	vanB	RBH	0.991	1.0	phenotype: confers resistance to subclass: VANCOMYCIN, product: D-alanine--(R)-lactate ligase VanB
VanHDX	resfinder	VanHDX	phenotype: confers resistance to: TEICOPLANIN, VANCOMYCIN												
VanHMX	resfinder	VanHMX	phenotype: confers resistance to: TEICOPLANIN, VANCOMYCIN	ARO3002911	vanM	RBH	1.0	1.0	PMID: ['20733041'], is_a: ARO:3002978:D-Ala-D-Lac ligase	WP_063856712.1	vanM	RBH	1.0	1.0	phenotype: confers resistance to subclass: VANCOMYCIN, product: D-alanine--(R)-lactate ligase VanM
VanHOX	resfinder	VanHOX	phenotype: confers resistance to: VANCOMYCIN	ARO3002948	vanH gene in vanO cluster	RBH	1.0	1.0	PMID: ['24342631'], is_a: ARO:3000006:vanH, phenotype: confers resistance to drug class: GLYCOPEPTIDE ANTIBIOTIC	WP_063856707.1	vanH-O	RBH	1.0	1.0	phenotype: confers resistance to subclass: VANCOMYCIN, product: D-lactate dehydrogenase VanH-O
VanLXY	resfinder	VanLXY	phenotype: confers resistance to: VANCOMYCIN	ARO3002910	vanL	RBH	1.0	1.0	PMID: ['18458129'], is_a: ARO:3002979:D-Ala-D-Ser ligase	WP_063856711.1	vanL	RBH	1.0	1.0	phenotype: confers resistance to subclass: VANCOMYCIN, product: D-alanine--D-serine ligase VanL
VanNXY	resfinder	VanNXY	phenotype: confers resistance to: VANCOMYCIN	ARO3002912	vanN	RBH	1.0	1.0	PMID: ['21807981'], is_a: ARO:3002979:D-Ala-D-Ser ligase	WP_063856713.1	vanN	RBH	1.0	1.0	phenotype: confers resistance to subclass: VANCOMYCIN, product: D-alanine--D-serine ligase VanN
aac(2')-IIa	resfinder	aac(2')-IIa	phenotype: confers resistance to: KASUGAMYCIN	ARO3004628	AAC(2')-IIa	RBH	1.0	1.0	PMID: ['22660700'], is_a: ARO:3007394:AAC(2')-II, phenotype: confers resistance to antibiotic: KASUGAMYCIN	WP_063839881.1	aac(2')-IIa	RBH	1.0	1.0	phenotype: confers resistance to subclass: KASUGAMYCIN, product: kasugamycin N-acetyltransferase AAC(2')-IIa
aac(2')-Ia	resfinder	aac(2')-Ia	phenotype: confers resistance to: DIBEKACIN, GENTAMICIN, NETILMICIN, TOBRAMYCIN	ARO3002523	AAC(2')-Ia	RBH	1.0	1.0	PMID: ['8407825'], is_a: ARO:3007393:AAC(2')-I, phenotype: confers resistance to antibiotic: 6'-N-ETHYLNETILMICIN,  DIBEKACIN,  GENTAMICIN,  NETILMICIN,  TOBRAMYCIN	WP_004918308.1	aac(2')-Ia	RBH	1.0	1.0	phenotype: confers resistance to subclass: GENTAMICIN, PLAZOMICIN, TOBRAMYCIN, product: aminoglycoside N-acetyltransferase AAC(2')-Ia
aac(2')-Ib	resfinder	aac(2')-Ib	phenotype: confers resistance to: DIBEKACIN, GENTAMICIN, NETILMICIN, TOBRAMYCIN	ARO3002524	AAC(2')-Ib	RBH	1.0	0.9282051282051282	PMID: ['8891143'], is_a: ARO:3007393:AAC(2')-I, phenotype: confers resistance to antibiotic: 6'-N-ETHYLNETILMICIN,  DIBEKACIN,  GENTAMICIN,  NETILMICIN,  TOBRAMYCIN	WP_003881640.1	aac(2')-Ib	RBH	1.0	0.9282051282051282	phenotype: confers resistance to subclass: GENTAMICIN, TOBRAMYCIN, product: aminoglycoside N-acetyltransferase AAC(2')-Ib
aac(2')-Ic	resfinder	aac(2')-Ic	phenotype: confers resistance to: DIBEKACIN, GENTAMICIN, NETILMICIN, TOBRAMYCIN	ARO3002525	AAC(2')-Ic	RBH	1.0	0.9502762430939227	PMID: ['9159528'], is_a: ARO:3007393:AAC(2')-I, phenotype: confers resistance to antibiotic: 6'-N-ETHYLNETILMICIN,  DIBEKACIN,  GENTAMICIN,  NETILMICIN,  TOBRAMYCIN	WP_003899880.1	aac(2')-Ic	RBH	1.0	0.9502762430939227	phenotype: confers resistance to subclass: GENTAMICIN, TOBRAMYCIN, product: aminoglycoside N-acetyltransferase AAC(2')-Ic
aac(2')-Id	resfinder	aac(2')-Id	phenotype: confers resistance to: DIBEKACIN, GENTAMICIN, NETILMICIN, TOBRAMYCIN	ARO3002526	AAC(2')-Id	RBH	1.0	0.9095238095238095	PMID: ['9159528'], is_a: ARO:3007393:AAC(2')-I, phenotype: confers resistance to antibiotic: 6'-N-ETHYLNETILMICIN,  DIBEKACIN,  GENTAMICIN,  NETILMICIN,  TOBRAMYCIN	WP_011726942.1	aac(2')-Id	RBH	1.0	0.9095238095238095	phenotype: confers resistance to subclass: GENTAMICIN, TOBRAMYCIN, product: aminoglycoside N-acetyltransferase AAC(2')-Id
aac(2')-Ie	resfinder	aac(2')-Ie	phenotype: confers resistance to: DIBEKACIN, GENTAMICIN, NETILMICIN, TOBRAMYCIN	ARO3002527	AAC(2')-Ie	RBH	1.0	1.0	PMID: ['9159528'], is_a: ARO:3007393:AAC(2')-I, phenotype: confers resistance to antibiotic: 6'-N-ETHYLNETILMICIN,  DIBEKACIN,  GENTAMICIN,  NETILMICIN,  TOBRAMYCIN	WP_010908954.1	aac(2')-Ie	RBH	1.0	1.0	phenotype: confers resistance to subclass: GENTAMICIN, TOBRAMYCIN, product: aminoglycoside N-acetyltransferase AAC(2')-Ie
aac(3)-I	resfinder	aac(3)-I	phenotype: confers resistance to: ASTROMICIN, FORTIMICIN, GENTAMICIN	ARO3002528	AAC(3)-Ia	OWH	0.906	1.0	PMID: ['1960117', '2549372'], is_a: ARO:3007384:AAC(3)-I, phenotype: confers resistance to antibiotic: ASTROMICIN,  GENTAMICIN,  SISOMICIN	WP_063840256.1	aac(3)-I	OWH	0.918	1.0	phenotype: confers resistance to subclass: GENTAMICIN, product: AAC(3)-I family aminoglycoside 3-N-acetyltransferase
aac(3)-IIIa	resfinder	aac(3)-IIIa	phenotype: confers resistance to: DIBEKACIN, GENTAMICIN, SISOMICIN, TOBRAMYCIN	ARO3002536	AAC(3)-IIIa	RBH	1.0	1.0	PMID: ['1649572'], is_a: ARO:3007386:AAC(3)-III, phenotype: confers resistance to antibiotic: 5-EPISISOMICIN,  DIBEKACIN,  GENTAMICIN,  KANAMYCIN A,  LIVIDOMYCIN,  NEOMYCIN,  PAROMOMYCIN,  SISOMICIN,  TOBRAMYCIN	WP_063840261.1	aac(3)-IIIa	RBH	1.0	1.0	phenotype: confers resistance to subclass: GENTAMICIN, product: aminoglycoside N-acetyltransferase AAC(3)-IIIa
aac(3)-IIIb	resfinder	aac(3)-IIIb	phenotype: confers resistance to: GENTAMICIN, TOBRAMYCIN	ARO3002537	AAC(3)-IIIb	OWH	0.928	1.0	PMID: ['20387903'], is_a: ARO:3007386:AAC(3)-III, phenotype: confers resistance to antibiotic: 5-EPISISOMICIN,  DIBEKACIN,  GENTAMICIN,  KANAMYCIN A,  LIVIDOMYCIN,  NEOMYCIN,  PAROMOMYCIN,  SISOMICIN,  TOBRAMYCIN	WP_058179966.1	aac(3)-IIIb	OWH	0.928	1.0	phenotype: confers resistance to subclass: GENTAMICIN, product: aminoglycoside N-acetyltransferase AAC(3)-IIIb
aac(3)-IIIc	resfinder	aac(3)-IIIc	phenotype: confers resistance to: DIBEKACIN, GENTAMICIN, SISOMICIN, TOBRAMYCIN	ARO3002538	AAC(3)-IIIc	RBH	1.0	1.0	PMID: ['8385262'], is_a: ARO:3007386:AAC(3)-III, phenotype: confers resistance to antibiotic: GENTAMICIN A	WP_063840263.1	aac(3)-IIIc	RBH	1.0	1.0	phenotype: confers resistance to subclass: GENTAMICIN, product: aminoglycoside N-acetyltransferase AAC(3)-IIIc
aac(3)-IIa	resfinder	aac(3)-IIa	phenotype: confers resistance to: GENTAMICIN, TOBRAMYCIN	ARO3004621	AAC(3)-IIe	OWH	0.967	1.0	PMID: ['20185552'], is_a: ARO:3007385:AAC(3)-II, phenotype: confers resistance to antibiotic: 2'-N-ETHYLNETILMICIN,  6'-N-ETHYLNETILMICIN,  DIBEKACIN,  GENTAMICIN,  NETILMICIN,  SISOMICIN,  TOBRAMYCIN	WP_002063884.1	aac(3)-IIe	RBH	0.996	1.0	phenotype: confers resistance to subclass: GENTAMICIN, product: aminoglycoside N-acetyltransferase AAC(3)-IIe
aac(3)-IIb	resfinder	aac(3)-IIb	phenotype: confers resistance to: APRAMYCIN, DIBEKACIN, GENTAMICIN, NETILMICIN, SISOMICIN, TOBRAMYCIN	ARO3002534	AAC(3)-IIb	RBH	1.0	1.0	PMID: ['1444303', '8385262'], is_a: ARO:3007385:AAC(3)-II, phenotype: confers resistance to antibiotic: 2'-N-ETHYLNETILMICIN,  6'-N-ETHYLNETILMICIN,  DIBEKACIN,  GENTAMICIN,  NETILMICIN,  SISOMICIN,  TOBRAMYCIN	WP_033147097.1	aac(3)-IIb	RBH	1.0	1.0	phenotype: confers resistance to subclass: GENTAMICIN, product: aminoglycoside N-acetyltransferase AAC(3)-IIb
aac(3)-IIc	resfinder	aac(3)-IIc	phenotype: confers resistance to: APRAMYCIN, DIBEKACIN, GENTAMICIN, NETILMICIN, SISOMICIN, TOBRAMYCIN	ARO3002535	AAC(3)-IIc	RBH	1.0	1.0	PMID: ['18467306', '8385262'], is_a: ARO:3007385:AAC(3)-II, phenotype: confers resistance to antibiotic: 2'-N-ETHYLNETILMICIN,  6'-N-ETHYLNETILMICIN,  DIBEKACIN,  GENTAMICIN,  NETILMICIN,  SISOMICIN,  TOBRAMYCIN	WP_063840266.1	aac(3)-IIc	RBH	1.0	1.0	phenotype: confers resistance to subclass: GENTAMICIN, product: aminoglycoside N-acetyltransferase AAC(3)-IIc
aac(3)-IId	resfinder	aac(3)-IId	phenotype: confers resistance to: APRAMYCIN, DIBEKACIN, GENTAMICIN, NETILMICIN, SISOMICIN, TOBRAMYCIN	ARO3004623	AAC(3)-IId	RBH	1.0	1.0	PMID: ['20185552'], is_a: ARO:3007385:AAC(3)-II, phenotype: confers resistance to antibiotic: 2'-N-ETHYLNETILMICIN,  6'-N-ETHYLNETILMICIN,  DIBEKACIN,  GENTAMICIN,  NETILMICIN,  SISOMICIN,  TOBRAMYCIN	WP_000557454.1	aac(3)-IId	RBH	1.0	1.0	phenotype: confers resistance to subclass: GENTAMICIN, product: aminoglycoside N-acetyltransferase AAC(3)-IId
aac(3)-IIe	resfinder	aac(3)-IIe	phenotype: confers resistance to: APRAMYCIN, DIBEKACIN, GENTAMICIN, NETILMICIN, SISOMICIN, TOBRAMYCIN	ARO3004621	AAC(3)-IIe	RBH	1.0	1.0	PMID: ['20185552'], is_a: ARO:3007385:AAC(3)-II, phenotype: confers resistance to antibiotic: 2'-N-ETHYLNETILMICIN,  6'-N-ETHYLNETILMICIN,  DIBEKACIN,  GENTAMICIN,  NETILMICIN,  SISOMICIN,  TOBRAMYCIN	WP_002063884.1	aac(3)-IIe	OWH	0.964	1.0	phenotype: confers resistance to subclass: GENTAMICIN, product: aminoglycoside N-acetyltransferase AAC(3)-IIe
aac(3)-IV	resfinder	aac(3)-IV	phenotype: confers resistance to: GENTAMICIN, TOBRAMYCIN	ARO3002539	AAC(3)-IVa	RBH	1.0	0.9069767441860465	PMID: ['6318050', '19709289'], is_a: ARO:3007387:AAC(3)-IV, phenotype: confers resistance to antibiotic: 2'-N-ETHYLNETILMICIN,  6'-N-ETHYLNETILMICIN,  APRAMYCIN,  DIBEKACIN,  GENTAMICIN,  NETILMICIN,  SISOMICIN,  TOBRAMYCIN	WP_001199192.1	aac(3)-IVa	RBH	1.0	0.9069767441860465	phenotype: confers resistance to subclass: APRAMYCIN, GENTAMICIN, TOBRAMYCIN, product: aminoglycoside N-acetyltransferase AAC(3)-IVa
aac(3)-IVa	resfinder	aac(3)-IVa	phenotype: confers resistance to: APRAMYCIN, DIBEKACIN, GENTAMICIN, NETILMICIN, SISOMICIN, TOBRAMYCIN	ARO3002539	AAC(3)-IVa	OWH	0.984	1.0	PMID: ['6318050', '19709289'], is_a: ARO:3007387:AAC(3)-IV, phenotype: confers resistance to antibiotic: 2'-N-ETHYLNETILMICIN,  6'-N-ETHYLNETILMICIN,  APRAMYCIN,  DIBEKACIN,  GENTAMICIN,  NETILMICIN,  SISOMICIN,  TOBRAMYCIN	WP_001199192.1	aac(3)-IVa	OWH	0.984	1.0	phenotype: confers resistance to subclass: APRAMYCIN, GENTAMICIN, TOBRAMYCIN, product: aminoglycoside N-acetyltransferase AAC(3)-IVa
aac(3)-IXa	resfinder	aac(3)-IXa	phenotype: confers resistance to: AMIKACIN, ARBEKACIN, DIBEKACIN, GENTAMICIN, KANAMYCIN, NEOMYCIN, PAROMOMYCIN	ARO3002543	AAC(3)-IXa	RBH	1.0	1.0	PMID: ['2060791'], is_a: ARO:3007391:AAC(3)-IX, phenotype: confers resistance to antibiotic: NEOMYCIN	WP_063840269.1	aac(3)-IXa	RBH	1.0	1.0	phenotype: confers resistance to subclass: AMINOGLYCOSIDE, product: aminoglycoside N-acetyltransferase AAC(3)-IXa
